Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)
1		37/1	f°	Pergament	470	57 : 41																		um 1480										St. Georgs-Ritterorden in Millstatt 			
2		37/2	f°	Pergament	235	55 : 38																		Ende XV										Chorherrenstift Stainz			
3		37/3	f°	Pergament	I, 179	56 : 39	1663	179																										Benediktinerstift St. Lambrecht			
4		37/11	f°	Papier	60	59 : 41																		um 1700	  									Dominikanerinnen in Mahrenberg a. d. Drau			
5		37/4	f°	Papier	160	57 : 40	1704	132																										Dominikanerinnen in Mahrenberg a. d. Drau			
6		37/5	f°	Papier	143	58 : 41																		um 1700										Dominikanerinnen in Mahrenberg a. d. Drau			
7		37/6	f°	Pergament	293	54 : 37												XV/2																Kartause Seitz			
8		37/7	f°	Papier	162	57 : 41												XVI/2																Jesuitenkollegium Graz			
9		37/8	f°	Pergament	172	55 : 37												XV/1																Zisterzienserstift Neuberg ?			
10		37/10	f°	Pergament	182	56 : 37												XV/1																Zisterzienserstift Neuberg ?			
11		37/12	f°	Papier	195	56 : 39												XVI/2																Jesuitenkollegium Graz ?			
12		37/13	f°	Papier	179	57 : 42	1586	35																										Jesuitenkollegium Graz			
13		37/14	f°	Papier	I, 29	56 : 42												XVI/2																Jesuitenkollegium Graz			
14		38/1	f°	Papier	26	54 : 39												XVI/2																Jesuitenkollegium Graz			
15		38/2	f°	Papier	115	54 : 40																		Ende XVI										Jesuitenkollegium Graz			
16		40/1	f°	Pergament	416	53 : 37												XV																Zisterzienserstift Neuberg 			
17		37/9	f°	Pergament	II, 390	50 : 37				1480-1510																								Chorherrenstift Seckau			
18		37/15	f°	Pergament	257	50 : 34												XV																Kartause Seitz			
19		40/23	f°	Pergament	16	47 : 35												XV																			
20		38/3	f°	Papier	191	48 : 34	1574																											Benediktinerstift St. Lambrecht			
21		34/4	f°	Pergament	I, 266	48 : 34												XV/2																Kartause Seitz			
22		38/6	f°	Papier	342	47 : 37																		vor 1607										Chorherrenstift Seckau			
23	1	39/2	f°	Pergament	I, 475	47 : 33	1429																										Ulrich von Albeck	Chorherrenstift Seckau			
23	2	39/2	f°	Pergament	I, 469	47 : 33	1429																										Ulrich von Albeck	Chorherrenstift Seckau			
24	1	38/5 und 38/12	f°	Papier	66	47 : 31	1756																											Zisterzienserstift Neuberg			
24	2	38/5 und 38/12	f°	Papier	66	47 : 31	1756																											Zisterzienserstift Neuberg			
25		39/1	f°	Pergament	58	48 : 31												XIV															Augustinus von Kärnten	Benediktinerstift St. Lambrecht			
26		39/3	f°	Pergament	II, 297	45 : 29												XIII/2																Chorherrenstift Seckau			
27		39/6	f°	Pergament	303	46 : 28												XIV																Jesuitenkollegium Graz			
28		38/7	f°	Pergament	292	45 : 31												XIV/2																Zisterzienserstift Neuberg			
29		38/8	f°	Pergament	381	44 : 31												XIV/1																Benediktinerstift St. Lambrecht			
30		38/9	f°	Pergament	375	42 : 30												XIV/1																Benediktinerstift St. Lambrecht			
31		38/10	f°	Papier	183	56 : 29												XVII																Dominikanerinnen in Mahrenberg a. d. Drau			
32		39/4	f°	Pergament	278	44 : 27												XIV/1															Ulrich von Albeck	Chorherrenstift Seckau			
33*	1	39/5	f°	Pergament	I,253	47 : 30												XIII																Benediktinerstift St. Lambrecht			
33	2	39/5	f°	Pergament	276	47 : 30												XIII																Benediktinerstift St. Lambrecht			
34		38/11	f°	Pergament	300	44 : 31												XV/1																Zisterzienserstift Neuberg			
35		38/13	f°	Papier	II, 166	43 : 30	1735																											Kartause Seitz			
36		38/14	f°	Pergament	I, 263, II	43 : 30												XIV/1																Franziskanerkloster in Judenburg ?			
37	1	41/4	f°	Pergament	212	45 : 30												XII/2																			
37	2	40/8	f°	Pergament	198	46 : 30												XII/2																			
38		40/22	f°	Pergament	I, 203	45 : 31												XII/2																			
39		40/20	f°	Pergament	256	44 : 32												XV/1																Chorherrenstift Seckau			
40		41/6	f°	Pergament	251	45 : 27												XIV																Zisterzienserstift Neuberg			
41		41/7 	f°	Pergament	179	45 : 28												XIV																Chorherrenstift Seckau			
42		34/1	f°	Papier	I, 104	44 : 30												XVIII/1															Johann Franz von Jungwirt				
43		41/3	f°	Pergament	284	43 : 26												XIV/1															Ulrich von Albeck	Chorherrenstift Seckau			
44*		41/2 	f°	Pergament	301	42 : 27												XIV/1															Ulrich von Albeck	Chorherrenstift Seckau			
45		41/1	f° 	Pergament	181	41 : 24												XIII/2															Ulrich von Albeck	Chorherrenstift Seckau			
46		41/5 	f°	Pergament	424	42 : 26												XIV																Dominikanerkloster Pettau			
47*		40/3 	f° 	Pergament	225	44 : 29												XIII/2																Dominikanerkloster Pettau			
48				Pergament	656	46 : 34	1469																										Bernhard von Rohr	Grazer Hofbibliothek	Andreas von Kreig	Grazer Jesuitenkollegium	
49		40/11 	f°	Pergament	I, 330	46 : 29												XIV/1																			
50		37/20	f°	Papier	IV, 308	44 : 29																		Mitte XVII										Kartause Seitz			
51		37/23 	f°	Pergament	191	44 : 30												XV																Kartause Seitz			
52		40/18 	f°	Pergament	278	45 : 32												XIII/1																Benediktinerstift St. Lambrecht			
53		40/17 	f°	Pergament	I, 356, I	44 : 28												XIV/1																Benediktinerstift St. Lambrecht			
54		40/19 	f°	Pergament	290	44 : 28												XIV/1																Benediktinerstift St. Lambrecht			
55		37/16 	f°	Papier	I, 150	44 : 30	1730																											Benediktinerstift St. Lambrecht			1730 im Druckkatalog kursiv!
56	1	37/17 	f°	Pergament	299	43 : 30																		Ende XII										Benediktinerstift St. Lambrecht			
56	2	37/17 	f°	Pergament	351	43 : 30																		Ende XII										Benediktinerstift St. Lambrecht			
56	3	37/17 	f°	Pergament	544	40 : 29	1510	148																										Benediktinerstift St. Lambrecht			
57		40/34 	f°	Pergament	I, 121	46 : 28												XIV 															Augustinus von Kärnten	Benediktinerstift St. Lambrecht			
58	1	33/97 	f°	Papier	308	42 : 28				1586-1771																											
58	2	33/97 	f°	Papier	257	42 : 28				1771-1826																											
58	3	33/97 	f°	Papier	268	42 : 28				1827-1877																											
58	4	33/97 	f°	Papier	487	42 : 28				1877-1919																											
58	Heft	33/97	f°	Papier	30	42 : 28				1849-1852																											
59		42/14 	f°	Papier	II, 304, I	43 : 29																		Anfang XV 									Heinrich von Lobenstein	Benediktinerstift St. Lambrecht			
60		42/15 	f°	Papier	II, 346	44 : 30												 						Anfang XV 									Heinrich von Lobenstein	Benediktinerstift St. Lambrecht			
61		40/25	f°	Pergament	324	43 : 29												XIV/1																Benediktinerstift St. Lambrecht			
62		40/16	f°	Pergament	304	45 : 33												XV/1																Benediktinerstift St. Lambrecht			
63		40/6	f°	Pergament	326	42 : 25	1390																										Ulrich von Albeck	Chorherrenstift Seckau			
64		33/1	f°	Papier	II, 406 	 41 : 28												XV/2																St. Georgs-Ritterorden in Millstatt		Jesuitenkollegium in Graz	
65		40/21	f°	Pergament	198	41 : 29 												XII 	23-185	XV	1 - 22	XIV	186 - 198											Chorherrenstift Seckau			
66		38/17	f°	Papier	347	41 : 29												XV																Chorherrenstift Seckau			
67		37/21	f°	Papier	III, 389 	41 : 28												XVI																Chorherrenstift Seckau			
68		40/2	f°	Pergament	II, 231 	41 : 30												XII																Chorherrenstift Seckau			
69		40/4	f°	Pergament	I, 284 	42 : 29												XIII/1																Chorherrenstift Seckau			
70		42/1	f°	Papier	I, 110 	41 : 28												XV/2																Benediktinerstift St. Lambrecht			Die Handschrift wurde an das Landesarchiv Dresden abgetreten. (Erich fragen?)
71		40/26	f°	Pergament	172	42 : 27												XIII																Benediktinerstift St. Lambrecht			
72		40/10	f°	Pergament	242	42 : 27												XIV/1																Benediktinerstift St. Lambrecht			
73		33/9	f°	Papier	VII, 39 	43 : 28	1644																										Johann Ferdinand von Herberstein				
74		37/18	f°	Pergament	362	41 : 31																		vor 1477									Jakob Gerold	Chorherrenstift Seckau			Dedikationsbild?
75		33/40	f°	Papier	I, 249	41 : 29												XV/2																St. Georgs-Ritterorden in Millstatt			
76		42/2	f°	Papier	224	41 : 29	1458	224																										Benediktinerstift St. Lambrecht			
77*		42/7	f°	Papier	473	41 : 27	1458	473																										Zisterzienserstift Neuberg			
78*		42/6	f°	Papier	310	40 : 28																		um 1400									Ulrich von Albeck	Chorherrenstift Seckau			
79	1	42/3	f°	Papier	399	41 : 29																		um 1400									Ulrich von Albeck	Chorherrenstift Seckau			
79	2	42/5	f°	Papier	II, 431 	41 : 29																		um 1400									Ulrich von Albeck	Chorherrenstift Seckau			
80		40/5	f°	Pergament	295	42 : 26												XIII																Dominikaner Pettau			
81		40/24 	f°	Pergament	I, 218 	40 : 26 	1309	217																										Chorherrenstift Seckau			
82		38/16	f°	Papier	II, 221	41 : 28																		um 1600										Jesuitenkollegium Graz			
83		40/9	f°	Pergament	310	39 : 27												XII/1 		XIV	1 - 16													Chorherrenstift Seckau			
84*	1	42/4 	f°	Papier	360	41 : 28																		um 1400									Ulrich von Albeck	Chorherrenstift Seckau			
84*	2	42/4 	f°	Papier	370	41 : 28																		um 1400									Ulrich von Albeck	Chorherrenstift Seckau			
85		41/11 	f°	Pergament	252	40 : 29												XV/1																Jesuitenkollegium Graz			
86		39/18	f°	Pergament	160	42 : 32												XII/1 																Chorherrenstift Seckau			
87	1	39/23	f°	Pergament	206	40 : 29	1478																											Kartause Seiz		Jesuitenkollegium Graz 	
87	2	40/7	f°	Pergament	261	40 : 29												XV/2																Kartause Seiz		Jesuitenkollegium Graz 	
87	3	40/13	f°	Pergament	201	40 : 29	1468																											Kartause Seiz		Jesuitenkollegium Graz 	
88		40/12	f°	Pergament	207	39 : 28												XII/1 																Chorherrenstift Seckau			
89		37/22	f°	Papier	318	39 : 27												XVI/2 																Jesuitenkollegium Graz			
90		41/12 	f°	Pergament	I, 299	41 : 29												XIV																Chorherrenstift Seckau			
91		33/10	f°	Papier	74	41 : 29				1478-1480																								Chorherrenstift Seckau			
92		34/2	f°	Papier	I, 431, I 	42 : 29												XV															Wolfgang Schranz	Jesuitenkollegium Graz 			
93		40/14	f°	Pergament	I, 278	40 : 27																		um 1300									Walther von Graz 	Benediktinerstift St. Lambrecht			
94*	1	 	 	Papier	475	34 : 22	1784																														Die Handschrift wurde an das Landesarchiv Dresden abgetreten.
94*	2			Papier	499	34 : 22	1784																														Die Handschrift wurde an das Landesarchiv Dresden abgetreten.
95		35/1	f°	Papier	I, 367 	41 : 29 																		um 1400									Ulrich von Albeck	Chorherrenstift Seckau			
96		37/25	f°	Papier	181	40 : 28 	1698	4																										Kartause Seiz			
97		37/24	f°	Papier	66	41 : 27												XVI/2																Jesuitenkollegium Graz			
98		39/20	f°	Pergament	98	40 : 25												XIV																Benediktinerstift St. Lambrecht			
99		38/15	f°	Papier	43	39 : 28												XVI/2																Benediktinerstift St. Lambrecht			
100		36/4	f°	Papier	361	41 : 29												XV																Benediktinerstift St. Lambrecht			
101		36/1	f°	Papier	53	42 : 29												XV																Benediktinerstift St. Lambrecht			
102		36/2	f°	Papier	258	40 : 28																		1463/64	168v									Zisterzienserstift Neuberg			
103		36/3	f°	Papier	246	40 : 29	1380	164v			1381	246v																						Chorherrenstift Seckau			
104		39/19	f°	Pergament	237, I	38 : 25												XII																Benediktinerstift St. Lambrecht			
105		41/8	f°	Pergament	I, 375	38 : 25												XII																Benediktinerstift St. Lambrecht			
106		41/9	f°	Pergament	273	40 : 24												XIII																Chorherrenstift Seckau			
107		39/21	f°	Pergament	227	38 : 24																		um 1300										Chorherrenstift Seckau			
108		37/19	f°	Pergament	436	39 : 29	1510	209																										Benediktinerstift St. Lambrecht			
109		38/18	f°	Pergament	250	39 : 27												XV/2																			
110		33/77	f°	Papier	17	41 : 28	1811	???																													
111		38/28	f°	Papier	479	37 : 25												XVI/2																			
112		38/27	f°	Pergament	263	38 : 28												XV/2																Chorherrenstift Seckau			
113		34/3	f°	Papier	395	38 : 26																		vor 1565										Grazer Hofbibliothek		Jesuitenkollegium Graz	
114		38/24	f°	Pergament	250	38 : 27												XV/2																Zisterzienserstift Neuberg			
115		38/23	f°	Pergament	420	37 : 28												XV/2																Benediktinerstift St. Lambrecht			
116		38/20	f°	Pergament	247	37 : 27												XV/1																Benediktinerstift St. Lambrecht			
117		39/22	f°	Pergament	257	37 : 24																		um 1300										Benediktinerstift St. Lambrecht			
118		39/27	f°	Pergament	302	38 : 27												XIV/1																Dominikanerkloster Pettau			
119		41/10	f°	Pergament	244	38 : 24												XIII/2																Dominikanerkloster Pettau			
120		41/20	f°	Pergament	303	38 : 26												XIV																Dominikanerkloster Pettau			
121		39/16	f°	Pergament	431	36 : 26												XIII/2																Chorherrenstift Stainz			
122		40/27	f°	Pergament	321	37 : 27 	1426	321																										Benediktinerstift St. Lambrecht 			
123		40/35	f°	Pergament	264	36 : 26												XV/1																Benediktinerstift St. Lambrecht			
124		38/19	f°	Papier	I, 227	37 : 26	1654	203																										Kartause Seitz			
125		40/29	f°	Pergament	I, 155	36 : 23												XIV																Zisterzienserstift Neuberg			
126		40/38 	f°	Pergament	I, 261	38 : 26												XIII																Chorherrenstift Seckau			
127		39/28	f°	Pergament	164	36 : 27												XV																Jesuitenkollegium Graz			
128		38/25	f°	Pergament	345	35 : 25																		vor 1445	221								Nikolaus von Zwittau	Kirche Mariazell		Benediktinerstift St. Lambrecht	
129		38/22	f°	Pergament	226	35 : 26												XV/1																Zisterzienserstift Neuberg			
130		40/103	f°	Pergament	439	35 : 25												XIII/2																Benediktinerstift St. Lambrecht			
131		38/29	f°	Pergament	128	35 : 26												XV/2																Chorherrenstift Seckau ?			
132		41/19	f°	Pergament	II, 195	36 : 25												XII/2																Chorherrenstift Seckau 			
133		33/64	f°	Papier	156	37 : 26												XVIII/1																			
134		38/21	f°	Pergament	548	36 : 24																		Mitte XIII										Benediktinerstift St. Lambrecht			
135		39/25	f°	Pergament	156	36 : 26												XIII																			Pettau? Händ. Komm. Mairold 
136		39/12 	f°	Pergament	206	35 : 24												XII 																Chorherrenstift Seckau			
137		39/11	f°	Pergament	V, 122	35 : 24												XIV/1																Dominikanerkloster Pettau ? 			Zisterz. Neuberg? Händ. Komm. Mairold
138		41/31	f°	Pergament	I, 289	36 : 22												XIV/1																Chorherrenstift Seckau			
139		41/17	f°	Pergament	235	36 : 25												XIV/1																Dominikanerkloster Pettau			
140		41/16	f°	Pergament	265	35 : 24																		um 1300									Ch. von Bebenberach	Dominikanerkloster Pettau	Friedrich von Tulln		
141		41/18	f°	Pergament	291	34 : 24																		um 1300										Dominikanerkloster Pettau ?			Zisterz. Neuberg? Händ. Komm. Mairold
142		41/21	f°	Pergament	163	34 : 24												XIV/1																Dominikanerkloster Pettau			
